,Specific Location,Amenities,Bedroom,Bathroom,Toilet,Description,Location,New,Duplex,Lux,Estate,locationbed,estate_price,terraced_price,new_price,value,location_rank,rank,Price
20,  ado ajah lagos,7,4,3,4,Neat 3-Bedroom flat (upstairs) with Kitchen Store For Rent @ Ajah - Ado Road Rent: 1.4m Caution: 150k Agency 10% Legal 10% ... Water Treatment. Pop Ceiling. Big Compound. All Room Ensuit. 24 Hours Security. ...,ajah,1,0,0,1,ajah4,1200000.0,1500000.0,1300000.0,2,29,5,1400000
21,"  abijo gra, lekki, lagos abijo ajah lagos",14,6,8,6,* This a fantastic house * Its a 7 bedroom detached duplex * It has very spacious rooms * Has 2 sitting rooms * Has all the rooms ensuite * Has beautiful wardrobes fitted in all the rooms * Has a ... Serviced. Boys Quater. Big Compound. ...,ajah,1,1,0,1,ajah6,4000000.0,4000000.0,4000000.0,3,50,9,4000000
22, happy land estate olokonla ajah lagos,7,4,3,4,3 bedroom Terraced Duplex House for rent Happy land estate Olokonla Ajah Lagos ... ...,ajah,1,1,1,1,ajah4,1200000.0,1500000.0,1300000.0,4,29,5,2000000
23,  by blenco supermarket sangotedo ajah lagos,2,1,1,1,"A Brand New 1Bedroom Mini flat for rent and upstairs with pop & wardrobe by Blenco Ajah - Lagos Rent: N550,000 APRO GLOBAL REAL ESTATES Web:info@aproglobalestate. com.ng. Tel: 01-7620139 Mobile: 080-51-595-336,080-29-481-639 070-63-822-217, 070-82-974-088 ... Security. Big Compound. Supermarket Nearby. Restaurants Nearby. ...",ajah,1,1,1,1,ajah1,400000.0,500000.0,450000.0,4,6,1,550000
24,  mrs ajah lagos,8,4,4,4,Lovely3 Bedroom duplex with Excellent facilities Close too Ajah Bridge Interlock road Workable to d express road Big compound and interlock 2duplex in d compound Pop finishing Big palour and dining space Big kitchen with store & lovely cabinet Big rooms with ... Drainage System. Security. Pop Ceiling. All Room Ensuit. Jacuzzi. Parking Space. Fast Internet. 24 Hours Security. ...,ajah,0,0,0,1,ajah4,1200000.0,1500000.0,1300000.0,1,29,5,1200000
25,"  salvation estate, off addo/langbasa road, ajah lagos",4,3,1,3," 2 Bedroom Luxury apartment. Fitted kitchen with ACs. 2brm = 1m per annum Refundable deposit for 2brm =200k. Flat has 4 splits ACs, 2 fitted wardrobes, fitted kitchen, electric fence, security. Etc ... Dry. Drainage System. Water Treatment. Security Doors. Security. Pop Ceiling. Big Compound. All Room Ensuit. Parking Space. 24 Hours Security. ...",ajah,1,1,0,1,ajah3,900000.0,1000000.0,1000000.0,3,24,4,1000000
26,  royal gardens ajiwe ajah lagos,11,6,5,6,"TO LET / LEASE A Tastefully finished 5br duplex with 2rm bq at the Royal Garden Estate, Ajah. Rent : N3.5m pa 1yr Estate Service Charge : N420k pa Refundable Caution Deposit : 10% Agency Fee : 10% Legal ... Serviced. Dry. Furnished. Boys Quater. Security Doors. Security. Pop Ceiling. Big Compound. All Room Ensuit. Parking Space. 24 Hours Electricity. 24 Hours Security. ...",ajah,1,1,0,1,ajah6,4000000.0,4000000.0,4000000.0,3,50,9,4000000
27,  badore ajah lagos,8,4,4,4,"Newly Built tastefully Finished 3 bedroom apartment with constant light and clean water supply all rooms ensuit, on interlocking paved stone at unity estate badore ... New. Drainage System. Security Doors. Pop Ceiling. Street Lights. Big Compound. Cctv Cameras. All Room Ensuit. Supermarket Nearby. Parking Space. Fast Internet. 24 Hours Electricity. 24 Hours Security. Water Treatment. Free Wifi. Children Play Ground. Security. Restaurants Nearby. ...",ajah,0,0,0,1,ajah4,1200000.0,1500000.0,1300000.0,1,29,5,1200000
28,  - badore ajah lagos,2,1,1,1,"A brand new tastefully finished specious self-contained sheared apartment with latest state of the art finished close to the estate gate, all rooms ensuit (with there personal bathroom and toilet) have constant light and ... Cheap. Dry. New. Drainage System. Security Doors. Pop Ceiling. Street Lights. Big Compound. Cctv Cameras. All Room Ensuit. Supermarket Nearby. Parking Space. Fast Internet. 24 Hours Electricity. 24 Hours Security. Water Treatment. Free Wifi. Security. Restaurants Nearby. ...",ajah,0,0,0,1,ajah1,400000.0,500000.0,450000.0,1,6,1,400000
29,"  royal garden estate, ajiwe ajah lagos",11,6,5,6,Fully serviced 5 bedroom detached duplex with swimming pool & 24hrs power 6m/ annum 5.5m/ 2 years ... Serviced. New. Drainage System. Security Doors. Pop Ceiling. Street Lights. Office Supplies. Big Compound. All Room Ensuit. Parking Space. 24 Hours Electricity. 24 Hours Security. Boys Quater. Water Treatment. Security. Swimming Pool. Jacuzzi. ...,ajah,1,1,1,1,ajah6,4000000.0,4000000.0,4000000.0,4,50,9,5000000
30,  ado ajah lagos,9,5,4,5,Newly Built 4-Bedroom Duplex For Rent @ Ajah - Ado Road Rent: *NGN 3.m* Caution: NGN 150k Agency: 10% Legal: 10% ... New. Drainage System. Water Treatment. Pop Ceiling. All Room Ensuit. Parking Space. ...,ajah,1,1,0,1,ajah5,3000000.0,3000000.0,3000000.0,3,43,8,3000000
31,  ado ajah lagos,10,6,4,6,FEATURES: - All Bedrooms En suite with Water Heaters - Fully Fitted Kitchen with Cabinets - Marble Tiles - Wardrobes - P.O.P ceiling - Dining - Serene Environment -Ample Parking Space. ... New. Drainage System. Water Treatment. Security Doors. Security. Pop Ceiling. Street Lights. Big Compound. All Room Ensuit. Jacuzzi. Parking Space. ...,ajah,1,1,0,1,ajah6,4000000.0,4000000.0,4000000.0,3,50,9,4000000
32,  awoyaya ajah lagos,2,1,1,1,Newly Built MiniFlat for rent @ Ajah - Awoyaya Rent: *NGN 350k* Agency: 10% Legal: 10% ... New. Security. Big Compound. All Room Ensuit. ...,ajah,0,0,0,1,ajah1,400000.0,500000.0,450000.0,1,6,1,400000
33,  infinity estate ado ajah lagos,8,4,4,4,"Decent 3 bedroom flat with excellent facilities: Very lovely estate with interlock road to the house Close to the road Interlock compound Very big parlor All room en-suit with heater in all rooms, with wardrobe Big kitchen and cabinet and back ... Security Doors. All Room Ensuit. Parking Space. 24 Hours Electricity. 24 Hours Security. ...",ajah,0,0,0,1,ajah4,1200000.0,1500000.0,1300000.0,1,29,5,1200000
34,"  mobil estate, ilaje off northwest filling station ilaje ajah lagos",9,5,4,5,"4 bedroom Detached Duplex House for rent Mobil estate, ilaje off northwest filling station Ilaje Ajah Lagos ... ...",ajah,1,1,0,1,ajah5,3000000.0,3000000.0,3000000.0,3,43,8,3000000
35,  - thomas estate ajah lagos,6,3,3,3,"3 bedroom en-suite flat for rent at Thomas Estate, Ajah Rent 1.5m Agency 10% Legal 10% Caution 10% ... Big Compound. All Room Ensuit. Parking Space. 24 Hours Electricity. 24 Hours Security. ...",ajah,1,1,1,1,ajah3,900000.0,1000000.0,1000000.0,4,24,4,1500000
36,  cooperative estate badore ajah lagos,7,4,3,4,"Four units of 3 bedroom flat all rooms ensuite with one bedroom boys quaters Rent: N1,000,000 inclusive of service charge Two units of 3 bedroom all ensuite with one bedroom boys quaters in a gated ... ...",ajah,0,0,0,1,ajah4,1200000.0,1500000.0,1300000.0,1,29,5,1200000
37,  mrs ajah lagos,4,2,2,2,"Decent 2bedroom flat 3 in the compound, Very close to Ajah bridge Mrs filling station Wakable to d road and very wakable to ajah bridge Decent compound and neat Secure compound Good place to stay 2rooms and a palour Lobby space and with privacy 600k ... Cheap. Drainage System. Security. Big Compound. Supermarket Nearby. Parking Space. Fast Internet. 24 Hours Electricity. 24 Hours Security. ...",ajah,1,1,0,1,ajah2,800000.0,800000.0,800000.0,3,21,4,800000
38,  mobile road ilaje ajah lagos,5,3,2,3,"Brand new fully serviced 2bedroom apartments, with 24hrs light in Mobile road, Ajah. Rent Upstairs 1.2 Downstairs 1m Agency 10% Legal 10% Caution 100k Service charge 500k ... Serviced. New. Drainage System. Security Doors. Pop Ceiling. Big Compound. All Room Ensuit. Supermarket Nearby. Parking Space. 24 Hours Electricity. 24 Hours Security. Water Treatment. Security. Mosques Nearby. Church Nearby. Restaurants Nearby. ...",ajah,1,1,1,1,ajah3,900000.0,1000000.0,1000000.0,4,24,4,1200000
39,  silver point estate badore ajah lagos,5,3,2,3,Tastefully built 2bedroom flat in a secure gated estate ... Cheap. New. Big Compound. All Room Ensuit. ...,ajah,1,1,1,1,ajah3,900000.0,1000000.0,1000000.0,4,24,4,2300000
40,  abijo ajah lagos,2,1,1,1,Brandnew Selfcon Appartment (upstairs) for rent @ Ajah - Abijo Rent: *NGN 220k Caution: 20k Agency: 10% Legal: 10% ... New. All Room Ensuit. ...,ajah,0,0,0,1,ajah1,400000.0,500000.0,450000.0,1,6,1,400000
41,  alpha bus stop sangotedo ajah lagos,3,2,1,2,1-Bedroom Flat For Rent @ Ajah - Sangotedo Rent: *NGN 400k* Caution: NGN 50k Legal: 10% Agency: 10% ... All Room Ensuit. ...,ajah,1,1,0,1,ajah2,800000.0,800000.0,800000.0,3,21,4,800000
42,  inside estate ado ajah lagos,6,3,3,3,Brand new Fantastic 2bedroom flat with excellent facilities All rooms ensuit with visitors toilet Big parlor with dinner space Pop finishing Big rooms with wardrobes Big bathroom with water heater Lovely kitchen with beautiful cabinet and back baconin Good light with personal ... Cheap. New. Drainage System. Security Doors. Security. Pop Ceiling. Big Compound. All Room Ensuit. Supermarket Nearby. Parking Space. Fast Internet. 24 Hours Electricity. 24 Hours Security. ...,ajah,0,0,0,1,ajah3,900000.0,1000000.0,1000000.0,1,24,4,900000
43,  inside estate badore ajah lagos,2,1,1,1,Decent 2bederoom flat for rent Specious compound Close to the road Big palour Big rooms Kitchen with cabinet Enough packing space Wakable the road ... Cheap. Renovated. Security Doors. Security. Big Compound. All Room Ensuit. Parking Space. 24 Hours Electricity. 24 Hours Security. ...,ajah,0,0,0,1,ajah1,400000.0,500000.0,450000.0,1,6,1,400000
44,  ado ajah lagos,4,2,2,2,Newly built tastefully finished room and parlour mini flat apartment with constant light and clean water supply located at Harmony estate owode ... Cheap. Dry. New. Drainage System. Water Treatment. Security Doors. Security. Pop Ceiling. Street Lights. Big Compound. All Room Ensuit. Supermarket Nearby. Fast Internet. 24 Hours Electricity. 24 Hours Security. ...,ajah,1,1,0,1,ajah2,800000.0,800000.0,800000.0,3,21,4,800000
45,  badore ajah lagos,9,5,4,5,4 bedroom Terraced Duplex House for rent Badore Ajah Lagos ... New. Church Nearby. Pop Ceiling. Restaurants Nearby. Supermarket Nearby. Drainage System. All Room Ensuit. Security. Parking Space. ...,ajah,1,1,0,1,ajah5,3000000.0,3000000.0,3000000.0,3,43,8,3000000
46,  shoprite monastery road sangotedo ajah lagos,9,5,4,5,"A detached duplex in a very secured estate for rent. The property is situated around shoprite sangotedo and road is tarred from the express to the estate. The house has all room ensuite, with spacious and luxury ... New. Swimming Pool. Security Doors. All Room Ensuit. Pop Ceiling. ...",ajah,1,1,0,1,ajah5,3000000.0,3000000.0,3000000.0,3,43,8,3000000
47,  good news estate sangotedo ajah lagos,7,4,3,4,"Exceptionally clean, lovely and comfortable 3 Bedroom flats (downstairs) in a secured Goodnews estate at Sangotedo, Ajah, Lagos. The features are: Solar system (green house) for 24-hours electricity supply from the sun Air conditioners in all rooms, ... Street Lights. Security. Security Doors. All Room Ensuit. 24 Hours Security. Pop Ceiling. ...",ajah,1,0,0,1,ajah4,1200000.0,1500000.0,1300000.0,2,29,5,1300000
48,  diamond estate sangotedo ajah lagos,9,5,4,5,4 Bedroom Semidetached Duplex in Serviced Estate Rent: N2.5m per annum Service charge: N230k per annum Services; - Security - Water treatment - Waste Disposal - Sewage Mgt ... New. Big Compound. Parking Space. Street Lights. Supermarket Nearby. 24 Hours Security. Security Doors. Drainage System. All Room Ensuit. Security. Water Treatment. ...,ajah,1,1,0,1,ajah5,3000000.0,3000000.0,3000000.0,3,43,8,3000000
49,  oke ira kekere ajah lagos,7,4,3,4,"Affordable 6 units of 3 bedroom flats available for lease at oke ira kekere, off addo road,Ajah. Property is located at oke - ira kekere off addo road, ajah. 8/10 car park space. -good neighbourhood within a gated community ... ...",ajah,0,0,0,1,ajah4,1200000.0,1500000.0,1300000.0,1,29,5,1200000
50, harmony estate ado ajah lagos,7,4,3,4,Very clean 2bedroom apartment Rent: 700k SC: 100k Features: Uniform security Parking space POP finish Clean water Interlocked and gated compound All rooms ensuite Visitors toilet ... Cheap. Dry. Big Compound. Parking Space. Pop Ceiling. 24 Hours Security. Drainage System. All Room Ensuit. Water Treatment. ...,ajah,0,0,0,1,ajah4,1200000.0,1500000.0,1300000.0,1,29,5,1200000
51,  by green spring school awoyaya awoyaya ajah lagos,4,2,2,2,Very nice and spacious 3bedrm Apartment Newly painted with tiles and wardrobes Upstair rent: 600k Agency: 60k Agreement: 60k Caution fee: 50k Downstair rent: 500k Agency: 50k Agreement: 50k Caution fee:50k LOCATION: by Green spring school Awoyaya Ajah ... Renovated. Parking Space. Pop Ceiling. Security. ...,ajah,1,1,0,1,ajah2,800000.0,800000.0,800000.0,3,21,4,800000
52,  beside atican beach okun ajah ajah lagos,7,4,3,4,To let fully furnished 3bedroom bungalow all rooms ensuite alone in a compound LOCATION;beside Atican beach okun ajah rent 1.3m caution fee 200k agency and legal fee 10% ... Furnished. Jacuzzi. Security. All Room Ensuit. Parking Space. Pop Ceiling. Big Compound. ...,ajah,0,0,0,1,ajah4,1200000.0,1500000.0,1300000.0,1,29,5,1200000
53,  abraham adesanya estate ajah lagos,6,3,3,3," 3 BRM Apartment, 2 Rooms ensuite, all tiled,Complete Kitchen Cabinet with Mable, fully painted in & out,Wardrobes in all Rooms with Pre-paid Meters LOCATION:Frank Kokori Road, Abraham Adesanya Estate. Ajah.Lagos. Rent #1m Legal 10%, Agency ... Jacuzzi. Security. Parking Space. Pop Ceiling. ...",ajah,1,1,0,1,ajah3,900000.0,1000000.0,1000000.0,3,24,4,1000000
54,  marshy hill estate akins ado ajah lagos,2,1,1,1,"Brand New 1Bedroom Mini flat upstairs with pop & wardrobe LOCATION: marshy hill Estate Ajah Price:N550k Service Charge N50k, Caution N30k, Agency:10% (55k) Legal :10% (55k) ... New. Serviced. Restaurants Nearby. Pop Ceiling. Parking Space. All Room Ensuit. ...",ajah,1,1,1,1,ajah1,400000.0,500000.0,450000.0,4,6,1,550000
55,  general paint alasia ajah ajah lagos,9,5,4,5,Newly Built 21units of 4bedroom Semi Detached Duplex House for rent Ajah Lagos LOCATION: general paint Alasia ajah Price: 2.2m per annum ... Serviced. New. Jacuzzi. Security. All Room Ensuit. Big Compound. Excision. Parking Space. 24 Hours Electricity. Swimming Pool. Pop Ceiling. 24 Hours Security. ...,ajah,1,1,0,1,ajah5,3000000.0,3000000.0,3000000.0,3,43,8,3000000
56,  thomas estate ajah thomas estate ajah lagos,5,3,2,3,"Rent: 9000k Agency fees: 100,000 Legal fees: 100,000 Refundable caution : 100,000 Service charge which includes Security, cleaning for one year. 96,000 Total:1,296,000.00 ( One million, three hundred and ninety ... Serviced. New. Security. All Room Ensuit. Parking Space. Pop Ceiling. ...",ajah,0,0,0,1,ajah3,900000.0,1000000.0,1000000.0,1,24,4,900000
57,  marina estate behind unity estate badore ajah badore ajah lagos,3,2,1,2,Newy Built spacious Mini-Flat (room and parlour self contained with tiles wardrobes kitchen cabinets and spacious compound) Rent: Upstairs - 600k Downstairs - 550k LOCATION : marina Estate behind Unity Estate badore Ajah Ajah Lagos ... New. Security. Parking Space. Pop Ceiling. ...,ajah,1,1,0,1,ajah2,800000.0,800000.0,800000.0,3,21,4,800000
58,  marshy hill estate ado ajah lagos,2,1,1,1," We have FOR RENT IN AKINS, MARSHY HILL ESTATE, ALONG ADO ROAD, AJAH, LEKKI An executive room self-contained _(that is as big as if it was a room and parlour) Price: ?350,000 upstairs & a similar one ... Renovated. Security. Parking Space. ...",ajah,0,0,0,1,ajah1,400000.0,500000.0,450000.0,1,6,1,400000
59,  jubril estate olokonla just by lagos business school ajah olokonla ajah lagos,7,4,3,4,"3bedroom executive and luxury flat, upstairs, very clean with spacious rooms, dining area, spacious and fitted kitchen, fitted wardrobe, all round POP finishing, security doors, prepaid meter Location: jubril estate by Lagos business school ajah Price: ... Security. All Room Ensuit. Parking Space. Pop Ceiling. ...",ajah,0,0,0,1,ajah4,1200000.0,1500000.0,1300000.0,1,29,5,1200000
60,  good news estate sangotedo ajah lagos,7,4,3,4,Luxurious 3 bedroom flat in a cerene neighbourhood with modern facilities.... AC in all the rooms including kitchen with provision for solar power ... Serviced. New. Cheap. Security. All Room Ensuit. Big Compound. Supermarket Nearby. Security Doors. Parking Space. 24 Hours Electricity. Pop Ceiling. 24 Hours Security. Drainage System. Water Treatment. ...,ajah,0,0,0,1,ajah4,1200000.0,1500000.0,1300000.0,1,29,5,1200000
61,  - abraham adesanya estate ajah lagos,2,1,1,1,Very nice and spacious miniflats ensuite with fitted kitchen cabinets toilet and bathroom LOCATION; Abraham adesanya Estate Ajah Price: 450k per annum ... Security. Parking Space. ...,ajah,1,0,0,1,ajah1,400000.0,500000.0,450000.0,2,6,1,450000
62,  ilaje opposite vgc ilaje ajah lagos,7,4,3,4,"A decent and newly built 3 bedroom terrace f all room tiled with POP, fitted kitchen, is available LOCATION: SouthDrift Estate, Ilaje, opposite VGC @ N1.6m per annum ... New. Jacuzzi. Security. All Room Ensuit. Parking Space. Pop Ceiling. ...",ajah,1,1,1,1,ajah4,1200000.0,1500000.0,1300000.0,4,29,5,1600000
63,  good news estate sangotedo sangotedo ajah lagos,7,4,3,4,Very nice and spacious 3bedroom flats all rooms ensuite LOCATION:Good news estate Sangotedo Ajah Lekki Price 800k. Per annum ... Security. All Room Ensuit. Parking Space. Pop Ceiling. ...,ajah,0,0,0,1,ajah4,1200000.0,1500000.0,1300000.0,1,29,5,1200000
64,  in an estate. badore ajah lagos,5,3,2,3,"Twelve units of brand new two bedroom flats within an estate in Badore. All rooms are ensuite with guest toilet. Rent: N900k Agency Fee: N90k Legal Fee: N90k Caution Deposit: N50k Service Charge: N100k Total: N1,230,000 JT/SP ... Serviced. New. Security. All Room Ensuit. Big Compound. Supermarket Nearby. Restaurants Nearby. Security Doors. Parking Space. Pop Ceiling. 24 Hours Security. Church Nearby. ...",ajah,0,0,0,1,ajah3,900000.0,1000000.0,1000000.0,1,24,4,900000
65,  marshy hill estate ado ajah lagos,7,4,3,4," 3 BEDROOM FLATS A newly built and well finished building of 5 units of 3 Bedrooom flats, all rooms ensuite with visitors wc, spacious parking lot, interlocked road, big kitchen with store and good security ... New. Security. All Room Ensuit. Big Compound. Parking Space. Pop Ceiling. ...",ajah,0,0,0,1,ajah4,1200000.0,1500000.0,1300000.0,1,29,5,1200000
66,  by abraham adesanya estate lekki gardens estate ajah lagos,7,4,3,4, Very nice superb 3 bedroom terrace duplex all rooms ensuite LOCATION:Lekki Gardens phase 2 by Abraham adesanya Price :1.6m Not new ... Jacuzzi. Security. All Room Ensuit. Big Compound. Parking Space. Pop Ceiling. ...,ajah,1,1,1,1,ajah4,1200000.0,1500000.0,1300000.0,4,29,5,1600000
67,  ... abraham adesanya estate ajah lagos,4,2,2,2,"TO LET. A newly renovated 2 bedroom bungalow in a large compound on June 12, Abraham Adesanya estate, Ajah, Lagos. Rent. N900. ... Renovated. Security. Parking Space. Printing Service. ...",ajah,1,1,1,1,ajah2,800000.0,800000.0,800000.0,4,21,4,900000
68,  peaceville estate badore ajah lagos,9,5,4,5,NEW 4BEDROOM TERRACE DUPLEX WITH SECURITY PRICE: 1.5M PER ANNUM AGENCY: 150K LEGAL: 150K CAUTION/REFUNDABLE DEPOSITS: 200K TOTAL PACKAGE: 2MILLION LOCATION: PEACEVILLE ESTATE BADORE AJAH ... New. Jacuzzi. Security. All Room Ensuit. Big Compound. Pop Ceiling. ...,ajah,1,1,0,1,ajah5,3000000.0,3000000.0,3000000.0,3,43,8,3000000
